"806","4","H","Fünfkampf (Halle)","60m-Hürden Hoch Kugel Weit 800m","Fünfkampf-H","5K-H","Punkte","4"
"807","4","F","Siebenkampf","100m Hürden Hoch Kugel 200m Weit Speer 800m","Siebenkampf","7K","Punkte","5"
"808","4","F","Siebenkampf","100m Weit Kugel Hoch 80m-Hürden Speer 800m","Siebenkampf","7K","Punkte","5"
"809","4","H","Siebenkampf (Halle)","60m Weit Kugel Hoch 60m-Hürden Stab 1000m","Siebenkampf-H","7K-H","Punkte","6"
"810","1","H","200 m (Halle)",,"200m-H","200H","sec","25"
"811","1","H","400 m (Halle)",,"400m-H","400H","sec","40"
"812","1","H","800 m (Halle)",,"800m-H","800H","min","405"
"813","1","H","1000 m (Halle)",,"1000m-H","1K0H","min","415"
"814","2","H","Weitsprung (Halle)",,"Weitsprung (Halle)","WEIH","m","5"
"815","2","H","Hochsprung (Halle)",,"Hochsprung (Halle)","HOCH","m","20"
"816","2","H","Kugelstoß (Halle)",,"Kugel (Halle)","KUGH","m","30"
"817","2","H","Stabhochsprung (Halle)",,"Stabhochsprung (Halle)","STAH","m","55"
"818","1","H","50 km (Halle)",,"50km-H","50kmH","Std","1111"
"819","4","H","Vierkampf (Halle)","60 m Hürden - Hochsprung - Weitsprung - 800 m","Vierkampf (Halle)","4KH","Punkte","3"
