"6351","3761","67"
"6352","3762","61"
"6353","3763","130"
"6354","3764","35"
"6355","3765","37"
"6356","3766","35"
"6357","3767","35"
"6358","3768","58"
"6359","3769","57"
"6360","3770","59"
"6362","3772","52"
"6363","3773","61"
"6364","3774","126"
"6365","3775","51"
"6366","3776","51"
"6367","3777","52"
"6368","3778","53"
"6369","3779","53"
"6370","3780","119"
"6371","3781","122"
"6372","3782","123"
"6373","3783","123"
"6374","3784","124"
"6375","3785","125"
"6376","3786","52"
"6377","3787","53"
"6383","3793","62"
"6384","3794","61"
"6385","3795","129"
"6386","3796","125"
"6387","3797","130"
"6388","3798","35"
"6389","3799","37"
"6390","3800","35"
"6391","3801","35"
"6392","3802","35"
"6393","3803","57"
"6394","3804","63"
"6395","3805","112"
"6396","3806","126"
"6397","3807","126"
"6398","3808","126"
"6399","3809","126"
"6400","3810","127"
"6401","3811","127"
"6402","3812","51"
"6403","3813","45"
"6404","3814","53"
"6405","3815","53"
"6406","3816","123"
"6407","3817","123"
"6408","3818","124"
"6409","3819","57"
"6410","3820","64"
"6411","3821","64"
"6412","3822","61"
"6413","3823","130"
"6416","3826","54"
"6419","3829","116"
"6422","3832","35"
"6423","3832","40"
"6424","3832","42"
"6425","3833","35"
"6426","3833","41"
"6427","3833","94"
"6428","3834","35"
"6429","3834","87"
"6430","3834","40"
"6431","3835","58"
"6432","3835","52"
"6433","3835","57"
"6434","3836","49"
"6435","3836","72"
"6436","3836","91"
"6437","3837","58"
"6438","3837","52"
"6439","3837","57"
"6440","3838","63"
"6441","3838","70"
"6442","3838","57"
"6443","3839","62"
"6444","3839","77"
"6445","3839","107"
"6446","3840","108"
"6447","3840","109"
"6448","3840","110"
"6449","3841","105"
"6450","3841","48"
"6451","3841","106"
"6452","3842","190"
"6453","3842","129"
"6454","3842","114"
"6455","3843","112"
"6456","3843","125"
"6457","3843","139"
"6458","3844","126"
"6459","3844","122"
"6460","3844","127"
"6461","3845","191"
"6462","3845","192"
"6463","3845","188"
"6464","3846","178"
"6465","3846","127"
"6466","3846","133"
"6467","3847","193"
"6468","3847","194"
"6469","3847","134"
"6470","3848","125"
"6471","3848","195"
"6472","3848","119"
"6473","3849","123"
"6474","3849","186"
"6475","3849","144"
"6476","3850","124"
"6477","3850","128"
"6478","3850","189"
"6481","3853","40"
"6482","3854","52"
"6483","3855","53"
"6484","3856","125"
"6485","3857","123"
"6486","3858","124"
"6487","3859","40"
"6488","3859","45"
"6489","3859","54"
"6490","3859","88"
"6491","3860","51"
"6492","3860","45"
"6493","3860","87"
"6494","3860","88"
"6495","3861","51"
"6496","3861","45"
"6497","3861","40"
"6498","3861","43"
"6499","3862","102"
"6500","3862","52"
"6501","3862","53"
"6502","3862","59"
"6503","3863","52"
"6504","3863","53"
"6505","3863","103"
"6506","3863","104"
"6507","3864","122"
"6508","3864","148"
"6509","3864","127"
"6510","3864","143"
"6511","3865","133"
"6512","3865","122"
"6513","3865","178"
"6514","3865","127"
"6515","3866","185"
"6516","3866","123"
"6517","3866","186"
"6518","3866","144"
"6519","3867","123"
"6520","3867","187"
"6521","3867","144"
"6522","3867","188"
"6523","3868","124"
"6524","3868","128"
"6525","3868","189"
"6526","3868","117"
"6527","3869","35"
"6528","3869","38"
"6529","3869","40"
"6530","3869","41"
"6531","3870","35"
"6532","3870","41"
"6533","3870","42"
"6534","3870","94"
"6535","3871","35"
"6536","3871","88"
"6537","3871","87"
"6538","3871","45"
"6539","3872","95"
"6540","3872","86"
"6541","3872","96"
"6542","3872","97"
"6543","3873","98"
"6544","3873","99"
"6545","3873","100"
"6546","3873","69"
"6547","3874","140"
"6548","3874","167"
"6549","3874","168"
"6550","3874","112"
"6551","3875","155"
"6552","3875","171"
"6553","3875","156"
"6554","3875","119"
"6555","3876","115"
"6556","3876","175"
"6557","3876","173"
"6558","3876","174"
"6559","3877","180"
"6560","3877","181"
"6561","3877","120"
"6562","3877","182"
"6563","3878","91"
"6564","3878","89"
"6565","3878","92"
"6566","3878","90"
"6567","3879","43"
"6568","3879","40"
"6569","3879","88"
"6570","3879","45"
"6571","3880","39"
"6572","3880","101"
"6573","3880","33"
"6574","3880","64"
"6575","3881","102"
"6576","3881","58"
"6577","3881","52"
"6578","3881","70"
"6579","3882","175"
"6580","3882","174"
"6581","3882","115"
"6582","3882","172"
"6583","3883","158"
"6584","3883","159"
"6585","3883","122"
"6586","3883","133"
"6587","3884","183"
"6588","3884","184"
"6589","3884","120"
"6590","3884","134"
"6592","3886","66"
"6593","3887","61"
"6594","3888","131"
"6595","3889","33"
"6596","3890","46"
"6597","3891","47"
"6598","3892","33"
"6599","3893","112"
"6600","3894","113"
"6601","3895","114"
"6602","3896","115"
"6603","3897","116"
"6604","3898","117"
"6605","3899","118"
"6606","3900","35"
"6607","3901","33"
"6608","3902","35"
"6609","3903","68"
"6611","3905","132"
"6612","3906","133"
"6613","3907","115"
"6616","3910","46"
"6617","3911","49"
"6618","3912","33"
"6619","3913","50"
"6621","3915","115"
"6622","3916","120"
"6623","3917","121"
"6624","3918","36"
"6625","3919","48"
"6626","3920","55"
"6628","3922","52"
"6629","3923","57"
"6630","3924","57"
"6631","3925","112"
"6632","3926","126"
"6633","3927","126"
"6634","3928","126"
"6635","3929","126"
"6636","3930","127"
"6637","3931","127"
"6638","3932","125"
"6639","3933","128"
"6640","3934","70"
"6641","3935","70"
"6642","3936","134"
"6643","3937","134"
"6644","3938","127"
"6645","3939","124"
"6646","3940","38"
"6647","3941","72"
"6648","3942","73"
"6649","3943","47"
"6650","3944","74"
"6651","3945","74"
"6652","3946","74"
"6653","3947","133"
"6654","3948","138"
"6655","3949","138"
"6656","3950","139"
"6657","3951","139"
"6658","3952","139"
